0.000000e+00 1.600000e+03 -3.200000e+03     -nan     -nan 6.666667e-01
2.644000e+00 1.587702e+02 -1.594949e+03 5.495157e+03 1.072917e+03 -5.904835e-02
2.690857e+00 1.633694e+02 -1.553088e+03 5.484132e+03 9.672800e+02 3.566031e-02
2.737714e+00 1.537722e+02 -1.506004e+03 4.705190e+03 9.158085e+02 3.823709e-02
2.784571e+00 1.361278e+02 -1.467504e+03 3.860203e+03 8.678053e+02 2.695124e-02
2.831429e+00 1.303634e+02 -1.425007e+03 3.277918e+03 7.930883e+02 6.193161e-02
2.878286e+00 1.247668e+02 -1.392422e+03 3.061063e+03 7.408223e+02 9.607389e-03
2.925143e+00 1.234550e+02 -1.361044e+03 3.058570e+03 7.074956e+02 -2.142364e-02
2.972000e+00 1.116590e+02 -1.326902e+03 2.293984e+03 6.652143e+02 3.844464e-02
3.018857e+00 1.041478e+02 -1.296644e+03 1.998796e+03 6.221499e+02 4.668795e-02
3.065714e+00 1.084572e+02 -1.268394e+03 2.187179e+03 5.955956e+02 6.252794e-03
3.112571e+00 9.868120e+01 -1.240762e+03 1.703488e+03 5.786781e+02 6.801372e-02
3.159429e+00 1.001276e+02 -1.213056e+03 1.843253e+03 5.400548e+02 -2.241653e-02
3.206286e+00 9.219080e+01 -1.188416e+03 1.561257e+03 5.181038e+02 -4.722491e-02
3.253143e+00 8.773260e+01 -1.165306e+03 1.388010e+03 4.826426e+02 -4.778011e-02
